Adı,Doğum Tarihi,Pozisyon,Son Takımı,Maç Sayısı,Gol Sayısı,Sarı Kart,Kırmızı Kart
Martin Braithwaite,1991,F,Espanyol,478,107,1,
Conor Sammon,1987,F,Alloa Athletic,523,107,1,
Xherdan Shaqiri,1991,O,Chicago Fire,554,107,1,
Danny Welbeck,1990,F,Brighton & Hove Albion,440,107,0,
Fernando Forestieri,1990,F,Johor DT,367,107,7,
Aldo Serena,1960,F,Milan,298,107,1,
Bum-Kun Cha,1953,F,Bayer Leverkusen,348,107,0,
Paolo Rossi,1956,F,Hellas Verona,267,107,0,
Oğuz Çetin,1963,O,Adanaspor,711,107,0,
Luis Figo,1972,O,Inter,577,107,9,
Fazlı Ulusal,1974,F,Erzurumspor,349,107,1,
Murat Çaydemir,1989,F,Kuşadasıspor,291,107,6,
Turgay An,1987,O,Manisa Sanayi Yıldız,367,107,3,
Muharrem Ozan Cengiz,1988,F,İnegölspor,324,107,2,
Igor Subbotin,1990,O,Nomme JK Kalju,344,107,1,
Stephan Hain,1988,F,Unterhaching,269,107,0,
Feyzullah Küçük,1962,F,Cizrespor (ESKİ),398,107,6,
Erhan Kiremitçi,1963,F,Bakırköyspor,255,107,1,
Ali Gültiken,1965,F,Kayseri Erciyesspor,356,107,1,
Manolo Gabbiadini,1991,F,Sampdoria,397,107,1,
Martin Braithwaite,1991,F,Espanyol,478,107,1,
Conor Sammon,1987,F,Alloa Athletic,523,107,1,
Xherdan Shaqiri,1991,O,Chicago Fire,554,107,1,
Danny Welbeck,1990,F,Brighton & Hove Albion,440,107,0,
Fernando Forestieri,1990,F,Johor DT,367,107,7,
Aldo Serena,1960,F,Milan,298,107,1,
Bum-Kun Cha,1953,F,Bayer Leverkusen,348,107,0,
Paolo Rossi,1956,F,Hellas Verona,267,107,0,
Oğuz Çetin,1963,O,Adanaspor,711,107,0,
Luis Figo,1972,O,Inter,577,107,9,
Fazlı Ulusal,1974,F,Erzurumspor,349,107,1,
Paolo Rossi,1956,F,Hellas Verona,267,107,0,
Oğuz Çetin,1963,O,Adanaspor,711,107,0,
Luis Figo,1972,O,Inter,577,107,9,
Fazlı Ulusal,1974,F,Erzurumspor,349,107,1,
Mark Viduka,1975,F,Newcastle United,309,106,2,
Ciaran Kilduff,1988,F,Shelbourne,295,106,1,
Javier Orozco,1987,F,Xelaju MC,355,106,3,
Gabriel Hauche,1986,F,Racing Club,512,106,11,
Torgeir Börven,1991,F,Valerenga,339,106,0,
Keisuke Honda,1986,O,Suduva,431,106,0,
Jonathas,1989,F,Inter de Limeira,314,106,8,
Yaser Hacımustafaoğlu,1991,F,Van Spor FK,337,106,6,
Dimitar Rangelov,1983,F,Slavia Sofia,404,106,7,
Chu-Young Park,1985,F,Ulsan Hyundai,408,106,0,
Arda Turan,1987,O,Galatasaray,622,106,6,
Cayetano Re,1938,F,Espanyol,272,106,0,
Manu Sarabia,1957,O,UD Logrones,384,106,0,
Fabrizio Ravanelli,1968,F,Perugia,287,106,1,
Pavel Nedved,1972,O,Juventus,507,106,8,
Hesselink,1978,F,PSV Eindhoven,291,106,3,
Richard Yarsuvat,1992,O,GAIS,237,106,2,
Lucas Perez,1988,F,Deportivo La Coruna,374,106,0,
Abdoulay Diaby,1991,O,Pendikspor,398,106,3,
Ronny König,1983,F,FSV Zwickau,493,106,2,
Kosta Kasapoğlu,1935,F,İstanbulspor,511,106,1,
Ciaran Kilduff,1988,F,Shelbourne,295,106,1,
Javier Orozco,1987,F,Xelaju MC,355,106,3,
Gabriel Hauche,1986,F,Racing Club,512,106,11,
Torgeir Börven,1991,F,Valerenga,339,106,0,
Keisuke Honda,1986,O,Suduva,431,106,0,
Jonathas,1989,F,Inter de Limeira,314,106,8,
Yaser Hacımustafaoğlu,1991,F,Van Spor FK,337,106,6,
Dimitar Rangelov,1983,F,Slavia Sofia,404,106,7,
Chu-Young Park,1985,F,Ulsan Hyundai,408,106,0,
Arda Turan,1987,O,Galatasaray,622,106,6,
Cayetano Re,1938,F,Espanyol,272,106,0,
Manu Sarabia,1957,O,UD Logrones,384,106,0,
Fabrizio Ravanelli,1968,F,Perugia,287,106,1,
Pavel Nedved,1972,O,Juventus,507,106,8,
Hesselink,1978,F,PSV Eindhoven,291,106,3,
Cayetano Re,1938,F,Espanyol,272,106,0,
Manu Sarabia,1957,O,UD Logrones,384,106,0,
Fabrizio Ravanelli,1968,F,Perugia,287,106,1,
Pavel Nedved,1972,O,Juventus,507,106,8,
Hesselink,1978,F,PSV Eindhoven,291,106,3,
Ergin Keleş,1987,F,Kastamonuspor,439,105,0,
Tayfur Emre Yılmaz,1989,F,Silivrispor,390,105,1,
Christopher Maguire,1989,F,Eastleigh,545,105,3,
Ailton,1984,F,Örgryte,351,105,1,
Rafik Djebbour,1984,F,Consolat Marseille,240,105,2,
Xisco,1986,F,Atletico Baleares,372,105,3,
Manolo,1965,O,Celta Vigo,318,105,2,
Bebeto,1964,F,Vasco da Gama,162,105,0,
Peter Odemwingie,1981,F,Persepam Madura Utd,348,105,4,
Deivid de Souza,1979,F,Coritiba,319,105,2,
Andrei Arshavin,1981,F,Kairat,450,105,3,
Claudio Lopez,1974,F,Colorado Rapids,336,105,2,
Kevin Nolan,1982,O,Leyton Orient,540,105,5,
Robert Pires,1973,O,FC Goa,463,105,1,
Ömer Yalçın,1984,F,Yozgat Bld.Bozokspor,423,105,1,
Giannis Loukinas,1991,F,Kallithea,233,105,1,
Nicky Maynard,1986,F,Tranmere Rovers,386,105,1,
Raif Demir,1988,O,Orhangazi Çakırlıspor,363,105,4,
Jakob Jantscher,1989,O,Sturm Graz,473,105,3,
Jo Inge Berget,1990,O,Malmö FF,463,105,0,
Wellington,1988,F,Avispa Fukuoka,354,105,3,
Tayfur Emre Yılmaz,1989,F,Silivrispor,390,105,1,
Christopher Maguire,1989,F,Eastleigh,545,105,3,
Ailton,1984,F,Örgryte,351,105,1,
Rafik Djebbour,1984,F,Consolat Marseille,240,105,2,
Xisco,1986,F,Atletico Baleares,372,105,3,
Manolo,1965,O,Celta Vigo,318,105,2,
Bebeto,1964,F,Vasco da Gama,162,105,0,
Peter Odemwingie,1981,F,Persepam Madura Utd,348,105,4,
Deivid de Souza,1979,F,Coritiba,319,105,2,
Andrei Arshavin,1981,F,Kairat,450,105,3,
Claudio Lopez,1974,F,Colorado Rapids,336,105,2,
Kevin Nolan,1982,O,Leyton Orient,540,105,5,
Robert Pires,1973,O,FC Goa,463,105,1,
Ömer Yalçın,1984,F,Yozgat Bld.Bozokspor,423,105,1,
Jo Inge Berget,1990,O,Malmö FF,463,105,0,
Wellington,1988,F,Avispa Fukuoka,354,105,3,
Tayfur Emre Yılmaz,1989,F,Silivrispor,390,105,1,
Christopher Maguire,1989,F,Eastleigh,545,105,3,
Ailton,1984,F,Örgryte,351,105,1,
Rafik Djebbour,1984,F,Consolat Marseille,240,105,2,
Xisco,1986,F,Atletico Baleares,372,105,3,
Manolo,1965,O,Celta Vigo,318,105,2,
Bebeto,1964,F,Vasco da Gama,162,105,0,
Peter Odemwingie,1981,F,Persepam Madura Utd,348,105,4,
Deivid de Souza,1979,F,Coritiba,319,105,2,
Andrei Arshavin,1981,F,Kairat,450,105,3,
Claudio Lopez,1974,F,Colorado Rapids,336,105,2,
Kevin Nolan,1982,O,Leyton Orient,540,105,5,
Robert Pires,1973,O,FC Goa,463,105,1,
Ömer Yalçın,1984,F,Yozgat Bld.Bozokspor,423,105,1,
Erol Kapusuz,1974,F,Amed Sportif,337,104,5,
David Di Michele,1976,F,Lupa Roma,427,104,3,
Michael Mifsud,1981,F,Mosta,343,104,3,
Louis Saha,1978,F,Lazio,357,104,1,
Viktor Prodell,1988,F,Vasteras SK FK,334,104,0,
Sergio Araujo,1992,F,AEK Atina,379,104,4,
Nikos Karelis,1992,F,Panaitolikos,355,104,1,
Mitchell Megginson,1992,F,Cove Rangers,308,104,3,
Michael Higdon,1983,F,Bangor City,294,104,3,
Ilombe Mboyo,1987,F,Excelsior Virton,364,104,2,
Leonard Kweuke,1987,F,Çaykur Rizespor,251,104,2,
Oleksandr Gladky,1987,F,Chornomorets Odessa,367,104,0,
Reza Ghoochannejhad,1987,F,PEC Zwolle,308,104,3,
Onur Garip,1989,F,Ergene Velimeşe,349,104,10,
Hassan Nader,1965,F,Farense,272,104,6,
Rexach,1947,F,Barcelona,388,104,2,
Gino Cappello,1920,F,Bologna,304,104,2,
Olaf Thon,1966,F,Schalke 04,534,104,1,
Günter Netzer,1944,F,Grasshoppers,365,104,0,
Andres D'Alessandro,1981,O,Internacional,620,104,10,
Zvjezdan Misimovic,1982,O,Beijing Renhe,385,104,3,
David Di Michele,1976,F,Lupa Roma,427,104,3,
Michael Mifsud,1981,F,Mosta,343,104,3,
Louis Saha,1978,F,Lazio,357,104,1,
Viktor Prodell,1988,F,Vasteras SK FK,334,104,0,
Sergio Araujo,1992,F,AEK Atina,379,104,4,
Nikos Karelis,1992,F,Panaitolikos,355,104,1,
Mitchell Megginson,1992,F,Cove Rangers,308,104,3,
Michael Higdon,1983,F,Bangor City,294,104,3,
Ilombe Mboyo,1987,F,Excelsior Virton,364,104,2,
Leonard Kweuke,1987,F,Çaykur Rizespor,251,104,2,
Oleksandr Gladky,1987,F,Chornomorets Odessa,367,104,0,
Reza Ghoochannejhad,1987,F,PEC Zwolle,308,104,3,
Onur Garip,1989,F,Ergene Velimeşe,349,104,10,
Hassan Nader,1965,F,Farense,272,104,6,
Rexach,1947,F,Barcelona,388,104,2,
Gino Cappello,1920,F,Bologna,304,104,2,
Olaf Thon,1966,F,Schalke 04,534,104,1,
Günter Netzer,1944,F,Grasshoppers,365,104,0,
Andres D'Alessandro,1981,O,Internacional,620,104,10,
Zvjezdan Misimovic,1982,O,Beijing Renhe,385,104,3,
David Di Michele,1976,F,Lupa Roma,427,104,3,
Michael Mifsud,1981,F,Mosta,343,104,3,
Louis Saha,1978,F,Lazio,357,104,1,
Andres D'Alessandro,1981,O,Internacional,620,104,10,
Zvjezdan Misimovic,1982,O,Beijing Renhe,385,104,3,
David Di Michele,1976,F,Lupa Roma,427,104,3,
Michael Mifsud,1981,F,Mosta,343,104,3,
Louis Saha,1978,F,Lazio,357,104,1,
Tümer Metin,1974,O,Kerkyra,482,103,6,
Franko Andrijasevic,1991,O,Zhejiang G. FC,365,103,3,
Facundo Ferreyra,1991,F,Argentinos Juniors,293,103,3,
Andre,1990,F,Ponte Preta,409,103,2,
Tom de Sutter,1985,F,Royal Knokke,366,103,1,
Stephan El Shaarawy,1992,O,Roma,413,103,0,
Zoran Tosic,1987,O,Tobol,467,103,1,
David Barral,1983,F,CF Internacional,418,103,11,
Ergun Cengiz,1987,O,K.Çekmece Sinopspor,393,103,3,
Nacho Novo,1979,F,Glentoran FC,337,103,4,
Ruben Cano,1951,F,Rayo Vallecano,250,103,3,
Johan Cruyff,1947,F,Feyenoord,246,103,2,
Valeri Bojinov,1986,F,Levski Sofia,439,103,2,
Mohamadou Idrissou,1980,F,Kufstein,346,103,6,
Sertan Eser,1974,F,Sakaryaspor,410,103,4,
Mauricio Montes,1982,F,Alianza Atletico,304,103,2,
Luigi Castaldo,1982,F,Paganese,310,103,0,
Gaucho,1972,F,Rio Ave,282,103,2,
Jose Castillo,1983,F,Oriente Petrolero,275,103,5,
Ahmed Musa,1992,F,Sivasspor,451,103,1,
Rok Kronaveter,1986,O,Allerheiligen,349,103,5,
Franko Andrijasevic,1991,O,Zhejiang G. FC,365,103,3,
Facundo Ferreyra,1991,F,Argentinos Juniors,293,103,3,
Andre,1990,F,Ponte Preta,409,103,2,
Tom de Sutter,1985,F,Royal Knokke,366,103,1,
Stephan El Shaarawy,1992,O,Roma,413,103,0,
Zoran Tosic,1987,O,Tobol,467,103,1,
David Barral,1983,F,CF Internacional,418,103,11,
Ergun Cengiz,1987,O,K.Çekmece Sinopspor,393,103,3,
Nacho Novo,1979,F,Glentoran FC,337,103,4,
Ruben Cano,1951,F,Rayo Vallecano,250,103,3,
Johan Cruyff,1947,F,Feyenoord,246,103,2,
Valeri Bojinov,1986,F,Levski Sofia,439,103,2,
Mohamadou Idrissou,1980,F,Kufstein,346,103,6,
Sertan Eser,1974,F,Sakaryaspor,410,103,4,
Valeri Bojinov,1986,F,Levski Sofia,439,103,2,
Mohamadou Idrissou,1980,F,Kufstein,346,103,6,
Sertan Eser,1974,F,Sakaryaspor,410,103,4,
Zafer Biryol,1976,F,1922 Konyaspor,263,102,2,
Mehmet Batdal,1986,F,Fatih Karagümrük,335,102,3,
Miralem Sulejmani,1988,O,Young Boys,444,102,1,
Erik Jendrisek,1986,F,Liptovsky Mikulas,455,102,0,
Ferdi Başoda,1983,F,İzmirspor,415,102,2,
Patrick Helmes,1984,F,Köln,205,102,0,
Emil Kostadinov,1967,F,Mainz 05,288,102,3,
Rüdiger Abramczik,1956,F,Gütersloh,422,102,0,
Angelo Domenghini,1941,F,Foggia Calcio,392,102,0,
Predrag Mijatovic,1969,F,Fiorentina,302,102,1,
Dimitris Papadopoulos,1981,F,Panaitolikos,275,102,1,
Amauri,1980,F,NY Cosmos,391,102,5,
Halil Altıntop,1982,F,Kaiserslautern,528,102,0,
Perez Munoz Alfonso,1972,F,Real Betis,357,102,1,
Paolo Di Canio,1968,F,Lazio,464,102,6,
Kevin Davies,1977,F,Preston North End,603,102,2,
Sylvain Wiltord,1974,F,Nantes,398,102,0,
Mattia Destro,1991,F,Empoli,350,102,1,
Nikos Liberopoulos,1975,F,AEK Atina,256,102,1,
Pavel Pogrebnyak,1983,F,Ural,381,102,4,
Salvatore Caturano,1990,F,Rossoblu Potenza,301,102,1,
Mehmet Batdal,1986,F,Fatih Karagümrük,335,102,3,
Miralem Sulejmani,1988,O,Young Boys,444,102,1,
Erik Jendrisek,1986,F,Liptovsky Mikulas,455,102,0,
Ferdi Başoda,1983,F,İzmirspor,415,102,2,
Patrick Helmes,1984,F,Köln,205,102,0,
Emil Kostadinov,1967,F,Mainz 05,288,102,3,
Rüdiger Abramczik,1956,F,Gütersloh,422,102,0,
Angelo Domenghini,1941,F,Foggia Calcio,392,102,0,
Predrag Mijatovic,1969,F,Fiorentina,302,102,1,
Dimitris Papadopoulos,1981,F,Panaitolikos,275,102,1,
Amauri,1980,F,NY Cosmos,391,102,5,
Halil Altıntop,1982,F,Kaiserslautern,528,102,0,
Perez Munoz Alfonso,1972,F,Real Betis,357,102,1,
Paolo Di Canio,1968,F,Lazio,464,102,6,
Kevin Davies,1977,F,Preston North End,603,102,2,
Sylvain Wiltord,1974,F,Nantes,398,102,0,
Ferdi Başoda,1983,F,İzmirspor,415,102,2,
Patrick Helmes,1984,F,Köln,205,102,0,
Emil Kostadinov,1967,F,Mainz 05,288,102,3,
Rüdiger Abramczik,1956,F,Gütersloh,422,102,0,
Angelo Domenghini,1941,F,Foggia Calcio,392,102,0,
Predrag Mijatovic,1969,F,Fiorentina,302,102,1,
Dimitris Papadopoulos,1981,F,Panaitolikos,275,102,1,
Amauri,1980,F,NY Cosmos,391,102,5,
Halil Altıntop,1982,F,Kaiserslautern,528,102,0,
Perez Munoz Alfonso,1972,F,Real Betis,357,102,1,
Paolo Di Canio,1968,F,Lazio,464,102,6,
Kevin Davies,1977,F,Preston North End,603,102,2,
Sylvain Wiltord,1974,F,Nantes,398,102,0,
Sadettin Özer,1984,F,Mardin 47 Spor,260,101,2,
Andrei Cristea,1984,F,Dacia Mioveni,356,101,4,
Jaba,1981,F,Altos,271,101,7,
John Charles,1931,F,Cardiff City,190,101,0,
Dieter Eckstein,1964,F,Augsburg,352,101,3,
Mehmet Albayrak,1986,F,Cizrespor,385,101,2,
Amoroso,1974,F,Guarani FC,252,101,4,
Ünal Karaman,1966,O,MKE Ankaragücü,526,101,3,
Carlos Sanchez,1984,O,CA Penarol,503,101,6,
Etey Shechter,1987,F,Hapoel Petah Tikva,438,101,6,
Ariel Nahuelpan,1987,F,Wilstermann,371,101,8,
Demba Savage,1988,F,TPS Turku,389,101,2,
Derek Lyle,1981,F,BSC Glasgow,349,101,2,
Cyril Thereau,1983,F,Fiorentina,345,101,1,
Burak Çalık,1989,F,Çorum FK,399,101,0,
Ali Kucık,1991,F,Nevşehir Belediyespor,361,101,8,
Shkelzen Gashi,1988,F,Aarau,315,101,1,
Alexander Gorgon,1988,O,Pogon Szczecin,333,101,1,
Edmond Kapllani,1982,F,Elversberg,337,101,3,
Daryl Murphy,1983,F,Waterford FC,460,101,0,
Jacob Mulenga,1984,F,Go Ahead Eagles,298,101,0,
Andrei Cristea,1984,F,Dacia Mioveni,356,101,4,
Jaba,1981,F,Altos,271,101,7,
John Charles,1931,F,Cardiff City,190,101,0,
Dieter Eckstein,1964,F,Augsburg,352,101,3,
Mehmet Albayrak,1986,F,Cizrespor,385,101,2,
Amoroso,1974,F,Guarani FC,252,101,4,
Ünal Karaman,1966,O,MKE Ankaragücü,526,101,3,
Carlos Sanchez,1984,O,CA Penarol,503,101,6,
Etey Shechter,1987,F,Hapoel Petah Tikva,438,101,6,
Ariel Nahuelpan,1987,F,Wilstermann,371,101,8,
Demba Savage,1988,F,TPS Turku,389,101,2,
Derek Lyle,1981,F,BSC Glasgow,349,101,2,
Cyril Thereau,1983,F,Fiorentina,345,101,1,
Burak Çalık,1989,F,Çorum FK,399,101,0,
Ali Kucık,1991,F,Nevşehir Belediyespor,361,101,8,
Shkelzen Gashi,1988,F,Aarau,315,101,1,
Alexander Gorgon,1988,O,Pogon Szczecin,333,101,1,
Edmond Kapllani,1982,F,Elversberg,337,101,3,
Daryl Murphy,1983,F,Waterford FC,460,101,0,
Jacob Mulenga,1984,F,Go Ahead Eagles,298,101,0,
Andrei Cristea,1984,F,Dacia Mioveni,356,101,4,
Jaba,1981,F,Altos,271,101,7,
John Charles,1931,F,Cardiff City,190,101,0,
Dieter Eckstein,1964,F,Augsburg,352,101,3,
Mehmet Albayrak,1986,F,Cizrespor,385,101,2,
Amoroso,1974,F,Guarani FC,252,101,4,
Mehmet Albayrak,1986,F,Cizrespor,385,101,2,
Amoroso,1974,F,Guarani FC,252,101,4,
Ahmed Hassan,1975,F,Zamalek,293,100,1,
Marlos Bonfim,1988,O,Atletico Paranaense,483,100,2,
Atdhe Nuhiu,1989,F,Rheindorf Altach,523,100,2,
İlkay Gündoğan,1990,O,Barcelona,586,100,0,
Hannes Aigner,1981,F,Rheindorf Altach,240,100,4,
Akseli Pelvas,1989,F,IFK Mariehamn,301,100,1,
Riku Riski,1989,F,TPS Turku,419,100,0,
Leandro Carrijo,1985,F,El Paso Locomotive,263,100,1,
Lex Immers,1986,O,Scheveningen,479,100,2,
John Sutton,1983,F,Greenock Morton,372,100,0,
Nelson Oliveira,1991,F,PAOK,390,100,4,
Jaja,1986,F,Chiangrai United,260,100,0,
Danny Koevermans,1978,F,Utrecht,226,100,0,
Sandor Torghelle,1982,F,Budapest Vasas,340,100,7,
Youssouf Hadji,1980,F,Nancy,414,100,2,
Alessandro Matri,1984,F,Brescia,398,100,2,
Toifilou Maoulida,1979,F,Tours,423,100,5,
Murat Deniz,1977,D,Turgutreisspor,320,100,4,
Reha Kapsal,1963,F,Zeytinburnuspor,304,100,3,
Josh Magennis,1990,F,Wigan Athletic,583,100,3,
Aron Johannsson,1990,F,Valur,279,100,1,
Marlos Bonfim,1988,O,Atletico Paranaense,483,100,2,
Atdhe Nuhiu,1989,F,Rheindorf Altach,523,100,2,
İlkay Gündoğan,1990,O,Barcelona,586,100,0,
Hannes Aigner,1981,F,Rheindorf Altach,240,100,4,
Akseli Pelvas,1989,F,IFK Mariehamn,301,100,1,
Riku Riski,1989,F,TPS Turku,419,100,0,
Leandro Carrijo,1985,F,El Paso Locomotive,263,100,1,
Lex Immers,1986,O,Scheveningen,479,100,2,
John Sutton,1983,F,Greenock Morton,372,100,0,
Nelson Oliveira,1991,F,PAOK,390,100,4,
Jaja,1986,F,Chiangrai United,260,100,0,
Danny Koevermans,1978,F,Utrecht,226,100,0,
Sandor Torghelle,1982,F,Budapest Vasas,340,100,7,
Youssouf Hadji,1980,F,Nancy,414,100,2,
Alessandro Matri,1984,F,Brescia,398,100,2,
Toifilou Maoulida,1979,F,Tours,423,100,5,
Murat Deniz,1977,D,Turgutreisspor,320,100,4,
İlkay Gündoğan,1990,O,Barcelona,586,100,0,
Hannes Aigner,1981,F,Rheindorf Altach,240,100,4,
Akseli Pelvas,1989,F,IFK Mariehamn,301,100,1,
Riku Riski,1989,F,TPS Turku,419,100,0,
Leandro Carrijo,1985,F,El Paso Locomotive,263,100,1,
Lex Immers,1986,O,Scheveningen,479,100,2,
John Sutton,1983,F,Greenock Morton,372,100,0,
Nelson Oliveira,1991,F,PAOK,390,100,4,
Jaja,1986,F,Chiangrai United,260,100,0,
Danny Koevermans,1978,F,Utrecht,226,100,0,
Sandor Torghelle,1982,F,Budapest Vasas,340,100,7,
Youssouf Hadji,1980,F,Nancy,414,100,2,
Alessandro Matri,1984,F,Brescia,398,100,2,
Toifilou Maoulida,1979,F,Tours,423,100,5,
Murat Deniz,1977,D,Turgutreisspor,320,100,4,
Peguy Luyindula,1979,F,New York Red Bulls,406,99,1,
Jeremy Menez,1987,F,Reggina,546,99,7,
Uli Hoeness,1952,O,Nürnberg,315,99,0,
Elyaniv Barda,1981,F,Hapoel Beer Sheva,334,99,1,
Dirk Lottner,1972,O,MSV Duisburg,453,99,3,
Anıl Gir,1990,F,Fethiyespor,309,99,1,
